Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.009,0.002,-0.018,0,0.008,0.015,-0.002,0.004,-0.073,-0.006,0.012,-0.027,-0.002,-0.003,-0.004,0.079,-0.002,-0.002
,0.007,0.004,-0.017,0,0.01,0.013,0.001,0.004,-0.066,-0.001,0.013,-0.027,-0.006,-0.003,-0.002,0.075,-0.006,-0.003
,0.007,0.005,-0.016,0,0.012,0.011,0.002,0.005,-0.058,0.002,0.014,-0.028,-0.008,-0.001,0.001,0.069,-0.008,-0.003
,0.007,0.004,-0.016,0,0.014,0.009,0.002,0.006,-0.056,0.005,0.015,-0.029,-0.009,0.001,0.005,0.061,-0.009,-0.003
,0.006,0.002,-0.016,0.001,0.015,0.007,0,0.008,-0.062,0.006,0.017,-0.031,-0.008,0.002,0.007,0.053,-0.008,-0.001
,0.004,0.001,-0.017,0.004,0.014,0.005,0,0.009,-0.072,0.008,0.019,-0.031,-0.006,0.001,0.009,0.046,-0.006,-0.001
,0.002,0,-0.017,0.008,0.011,0.003,0,0.009,-0.075,0.009,0.022,-0.029,-0.005,-0.001,0.011,0.041,-0.005,-0.001
,0.002,-0.001,-0.015,0.011,0.006,0.001,0.002,0.009,-0.063,0.011,0.023,-0.025,-0.005,-0.002,0.012,0.039,-0.005,-0.002
,0.002,-0.001,-0.013,0.012,0.002,-0.002,0.006,0.009,-0.031,0.013,0.022,-0.019,-0.006,-0.002,0.013,0.04,-0.006,-0.003
,0.003,-0.002,-0.009,0.01,-0.001,-0.004,0.009,0.009,0.011,0.014,0.021,-0.015,-0.007,-0.001,0.016,0.043,-0.007,-0.003
,0.003,-0.003,-0.007,0.006,-0.003,-0.006,0.01,0.008,0.052,0.016,0.02,-0.012,-0.007,0.001,0.019,0.046,-0.007,-0.001
,0.002,-0.005,-0.004,0.002,-0.005,-0.007,0.009,0.007,0.08,0.017,0.023,-0.011,-0.005,0,0.021,0.047,-0.005,0.001
,0.001,-0.005,-0.002,0,-0.008,-0.007,0.008,0.004,0.09,0.017,0.029,-0.011,-0.002,-0.002,0.021,0.044,-0.002,0.004
,-0.001,-0.005,0.002,0,-0.01,-0.007,0.009,0.002,0.087,0.015,0.035,-0.01,-0.001,-0.004,0.02,0.037,-0.001,0.004
,-0.002,-0.004,0.006,0.001,-0.012,-0.007,0.012,0.001,0.078,0.011,0.04,-0.007,-0.001,-0.006,0.018,0.028,-0.001,0.003
,-0.003,-0.002,0.011,0.001,-0.012,-0.009,0.018,-0.001,0.067,0.007,0.042,-0.002,-0.004,-0.005,0.015,0.02,-0.004,0
,-0.006,0,0.015,0.001,-0.01,-0.011,0.026,-0.002,0.053,0.003,0.042,0.005,-0.008,-0.003,0.014,0.015,-0.008,-0.003
,-0.009,0.001,0.017,0,-0.005,-0.013,0.033,-0.005,0.033,0.001,0.042,0.011,-0.012,0,0.015,0.012,-0.012,-0.004
,-0.011,0.001,0.018,-0.003,-0.001,-0.015,0.038,-0.007,0.008,0.001,0.046,0.016,-0.014,0.002,0.015,0.01,-0.014,-0.005
,-0.013,0.001,0.018,-0.006,0.003,-0.014,0.038,-0.008,-0.015,0.002,0.05,0.018,-0.014,0.003,0.015,0.007,-0.014,-0.005
,-0.014,0,0.019,-0.009,0.005,-0.013,0.035,-0.007,-0.025,0.003,0.051,0.019,-0.013,0.002,0.013,-0.001,-0.013,-0.005
,-0.013,0.001,0.02,-0.011,0.005,-0.01,0.032,-0.006,-0.014,0.002,0.047,0.018,-0.012,0.001,0.009,-0.012,-0.012,-0.006
,-0.012,0.001,0.021,-0.01,0.004,-0.007,0.029,-0.004,0.013,0,0.036,0.019,-0.011,-0.002,0.004,-0.023,-0.011,-0.006
,-0.01,0.002,0.021,-0.006,0.003,-0.004,0.029,-0.003,0.044,-0.002,0.022,0.02,-0.009,-0.005,-0.001,-0.031,-0.009,-0.006
,-0.008,0.003,0.019,0,0.002,-0.002,0.031,-0.003,0.059,-0.005,0.011,0.021,-0.005,-0.007,-0.003,-0.034,-0.005,-0.005
,-0.006,0.003,0.016,0.007,0.001,0,0.031,-0.004,0.046,-0.006,0.006,0.022,-0.001,-0.006,-0.001,-0.033,-0.001,-0.004
,-0.004,0.003,0.012,0.012,0,0.001,0.028,-0.003,0.007,-0.007,0.008,0.023,0.002,-0.001,0.002,-0.03,0.002,-0.004
,-0.004,0.003,0.008,0.013,-0.002,0.001,0.023,-0.002,-0.039,-0.007,0.013,0.022,0.003,0.007,0.005,-0.029,0.003,-0.003
,-0.004,0.002,0.007,0.01,-0.003,0.001,0.015,-0.001,-0.071,-0.006,0.015,0.02,0.001,0.016,0.007,-0.031,0.001,-0.003
,-0.004,0,0.007,0.004,-0.003,0,0.008,-0.002,-0.081,-0.005,0.011,0.017,-0.003,0.024,0.007,-0.033,-0.003,-0.002
,-0.004,-0.001,0.007,-0.002,-0.002,0.001,0.002,-0.003,-0.076,-0.005,0.001,0.015,-0.006,0.026,0.005,-0.034,-0.006,-0.001
,-0.002,0,0.006,-0.006,0,0.002,-0.003,-0.005,-0.073,-0.005,-0.012,0.012,-0.007,0.023,0.002,-0.032,-0.007,-0.001
,0.001,0.002,0.004,-0.007,0.001,0.004,-0.006,-0.007,-0.087,-0.005,-0.022,0.011,-0.006,0.017,0,-0.028,-0.006,-0.003
,0.005,0.004,0,-0.008,0,0.005,-0.008,-0.006,-0.114,-0.006,-0.027,0.009,-0.003,0.012,-0.002,-0.023,-0.003,-0.004
,0.008,0.007,-0.005,-0.01,-0.003,0.006,-0.01,-0.005,-0.132,-0.007,-0.027,0.006,-0.001,0.01,-0.004,-0.022,-0.001,-0.005
,0.008,0.007,-0.01,-0.011,-0.006,0.006,-0.012,-0.004,-0.116,-0.007,-0.026,0,0.002,0.01,-0.006,-0.024,0.002,-0.006
,0.006,0.006,-0.014,-0.01,-0.009,0.004,-0.015,-0.003,-0.053,-0.007,-0.028,-0.007,0.003,0.011,-0.009,-0.027,0.003,-0.006
,0.002,0.004,-0.016,-0.005,-0.009,0.003,-0.018,-0.003,0.042,-0.006,-0.035,-0.015,0.005,0.011,-0.011,-0.028,0.005,-0.006
,-0.002,0.004,-0.015,0.004,-0.005,0.002,-0.022,-0.002,0.141,-0.005,-0.046,-0.022,0.005,0.008,-0.013,-0.026,0.005,-0.006
,-0.005,0.005,-0.013,0.015,0.001,0.001,-0.026,-0.001,0.209,-0.004,-0.058,-0.025,0.004,0.005,-0.012,-0.02,0.004,-0.004
,-0.007,0.007,-0.011,0.024,0.006,0.002,-0.028,0.001,0.229,-0.004,-0.065,-0.027,0.003,0.001,-0.01,-0.013,0.003,-0.001
,-0.006,0.007,-0.009,0.027,0.01,0.004,-0.028,0.004,0.206,-0.004,-0.064,-0.026,0.002,0,-0.007,-0.007,0.002,0.003
,-0.003,0.006,-0.009,0.025,0.01,0.006,-0.026,0.007,0.163,-0.004,-0.057,-0.025,0.002,-0.001,-0.007,-0.003,0.002,0.007
,0,0.003,-0.01,0.02,0.008,0.007,-0.023,0.009,0.13,-0.002,-0.048,-0.025,0.002,0,-0.009,-0.002,0.002,0.009
,0.003,0.001,-0.012,0.014,0.006,0.008,-0.023,0.009,0.124,0.001,-0.045,-0.025,0.003,0,-0.015,0,0.003,0.009
,0.005,-0.001,-0.012,0.012,0.005,0.008,-0.026,0.008,0.142,0.005,-0.051,-0.025,0.004,0,-0.023,0.002,0.004,0.008
,0.006,0,-0.011,0.014,0.003,0.006,-0.033,0.006,0.155,0.008,-0.062,-0.024,0.004,0,-0.032,0.005,0.004,0.006
,0.007,0,-0.009,0.019,0.002,0.003,-0.041,0.006,0.127,0.011,-0.068,-0.022,0.002,0,-0.039,0.008,0.002,0.004
,0.006,0,-0.007,0.022,-0.001,-0.001,-0.048,0.006,0.037,0.012,-0.061,-0.019,0.001,-0.001,-0.041,0.01,0.001,0.003
,0.004,-0.001,-0.005,0.02,-0.004,-0.005,-0.05,0.007,-0.104,0.012,-0.035,-0.016,0.001,-0.002,-0.039,0.011,0.001,0.003
