Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.259,0.008,-0.026,-0.215,0.064,0.01,0.003,0.259,-0.02
,0.245,0.007,-0.026,-0.216,0.083,0.011,0.006,0.245,-0.023
,0.232,0.005,-0.028,-0.214,0.105,0.013,0.007,0.232,-0.023
,0.217,0.005,-0.03,-0.21,0.127,0.017,0.007,0.217,-0.02
,0.2,0.004,-0.03,-0.205,0.148,0.021,0.006,0.2,-0.014
,0.181,0.004,-0.028,-0.198,0.172,0.025,0.005,0.181,-0.01
,0.162,0.003,-0.024,-0.19,0.199,0.027,0.004,0.162,-0.008
,0.146,0.002,-0.021,-0.18,0.23,0.028,0.002,0.146,-0.008
,0.132,0,-0.02,-0.171,0.262,0.027,0,0.132,-0.009
,0.118,-0.002,-0.019,-0.164,0.287,0.025,-0.003,0.118,-0.008
,0.104,-0.005,-0.018,-0.16,0.301,0.022,-0.005,0.104,-0.005
,0.089,-0.006,-0.013,-0.158,0.302,0.02,-0.005,0.089,0
,0.072,-0.007,-0.007,-0.156,0.292,0.02,-0.002,0.072,0.006
,0.054,-0.007,0,-0.15,0.279,0.023,0.002,0.054,0.01
,0.039,-0.007,0.005,-0.141,0.268,0.026,0.005,0.039,0.01
,0.025,-0.008,0.007,-0.127,0.258,0.031,0.008,0.025,0.009
,0.014,-0.01,0.005,-0.11,0.243,0.034,0.01,0.014,0.008
,0.004,-0.014,0.002,-0.094,0.216,0.035,0.012,0.004,0.008
,-0.005,-0.017,-0.002,-0.081,0.172,0.032,0.014,-0.005,0.01
,-0.015,-0.019,-0.005,-0.07,0.115,0.027,0.016,-0.015,0.013
,-0.025,-0.019,-0.008,-0.061,0.052,0.019,0.019,-0.025,0.015
,-0.034,-0.017,-0.009,-0.053,-0.013,0.011,0.022,-0.034,0.015
,-0.042,-0.015,-0.007,-0.044,-0.077,0.003,0.025,-0.042,0.013
,-0.046,-0.013,-0.003,-0.034,-0.142,-0.004,0.028,-0.046,0.01
,-0.048,-0.01,0.002,-0.024,-0.212,-0.011,0.031,-0.048,0.009
,-0.049,-0.007,0.009,-0.014,-0.286,-0.018,0.032,-0.049,0.01
,-0.052,-0.003,0.014,-0.005,-0.365,-0.024,0.031,-0.052,0.014
,-0.056,0,0.016,0.001,-0.443,-0.029,0.027,-0.056,0.019
,-0.061,0.003,0.016,0.004,-0.517,-0.031,0.02,-0.061,0.023
,-0.066,0.005,0.014,0.007,-0.587,-0.028,0.014,-0.066,0.024
,-0.069,0.006,0.011,0.009,-0.657,-0.022,0.008,-0.069,0.021
