Var1,Var2,Var3,Var4,Var5
rov trace:,NaN,NaN,NaN,NaN
,-0.111,0.074,-0.303,0.143
,-0.137,0.096,-0.323,0.083
,-0.146,0.102,-0.333,0.035
,-0.141,0.089,-0.327,0.001
,-0.131,0.062,-0.312,-0.024
,-0.123,0.032,-0.294,-0.041
,-0.118,0.006,-0.282,-0.055
,-0.114,-0.012,-0.28,-0.068
,-0.106,-0.023,-0.289,-0.083
,-0.091,-0.034,-0.304,-0.1
,-0.07,-0.049,-0.317,-0.118
,-0.052,-0.066,-0.325,-0.135
,-0.041,-0.085,-0.325,-0.151
,-0.04,-0.1,-0.318,-0.159
,-0.045,-0.11,-0.31,-0.159
,-0.048,-0.114,-0.305,-0.15
,-0.045,-0.116,-0.305,-0.134
,-0.038,-0.118,-0.308,-0.116
,-0.03,-0.121,-0.311,-0.1
,-0.027,-0.124,-0.307,-0.089
,-0.032,-0.126,-0.295,-0.081
,-0.041,-0.124,-0.277,-0.074
,-0.053,-0.12,-0.255,-0.066
,-0.062,-0.113,-0.237,-0.059
,-0.068,-0.105,-0.224,-0.053
,-0.071,-0.097,-0.217,-0.05
,-0.073,-0.088,-0.21,-0.05
,-0.075,-0.079,-0.199,-0.052
,-0.077,-0.069,-0.181,-0.052
,-0.078,-0.06,-0.159,-0.049
,-0.077,-0.053,-0.135,-0.043
,-0.073,-0.049,-0.115,-0.037
,-0.069,-0.047,-0.101,-0.032
,-0.065,-0.045,-0.094,-0.031
,-0.063,-0.042,-0.089,-0.034
,-0.061,-0.035,-0.084,-0.037
,-0.057,-0.026,-0.076,-0.038
,-0.052,-0.017,-0.064,-0.037
,-0.044,-0.01,-0.051,-0.032
,-0.036,-0.008,-0.038,-0.026
,-0.029,-0.009,-0.027,-0.019
,-0.024,-0.01,-0.02,-0.012
,-0.02,-0.008,-0.014,-0.005
,-0.017,-0.003,-0.01,0.001
,-0.014,0.005,-0.006,0.005
,-0.01,0.012,-0.004,0.007
,-0.005,0.015,-0.003,0.007
,-0.003,0.013,-0.003,0.006
,-0.002,0.009,-0.003,0.006
,-0.004,0.005,-0.002,0.007
,-0.006,0.004,0.002,0.009
,-0.007,0.004,0.008,0.011
,-0.006,0.005,0.015,0.011
,-0.002,0.005,0.022,0.009
,0.001,0.005,0.026,0.006
,0.005,0.005,0.027,0.003
,0.006,0.007,0.027,0.002
,0.004,0.01,0.027,0.002
,0,0.014,0.029,0.004
,-0.004,0.016,0.033,0.005
,-0.007,0.018,0.038,0.007
,-0.007,0.017,0.04,0.008
,-0.005,0.017,0.041,0.009
,-0.001,0.016,0.039,0.009
,0.001,0.015,0.037,0.009
,0.001,0.014,0.036,0.006
,-0.002,0.014,0.034,0.003
,-0.006,0.014,0.033,-0.001
,-0.009,0.015,0.032,-0.004
,-0.011,0.017,0.031,-0.007
,-0.01,0.021,0.03,-0.008
,-0.007,0.024,0.032,-0.009
,-0.003,0.025,0.035,-0.009
,0,0.024,0.037,-0.01
,0.002,0.021,0.038,-0.012
,0.004,0.017,0.036,-0.014
,0.006,0.015,0.033,-0.015
,0.009,0.013,0.029,-0.013
,0.012,0.014,0.026,-0.008
,0.015,0.013,0.025,-0.001
,0.016,0.012,0.025,0.006
,0.017,0.009,0.023,0.009
,0.016,0.005,0.021,0.009
