Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.002,0.003,0.002,-0.002,0.002,-0.002,0.682,-0.003,0.001,-0.008,0.003,0.003,0,0,0.001,-0.003
,0.003,0.004,0.004,0,0.003,-0.004,0.417,-0.003,-0.001,-0.008,0.004,0.004,-0.001,-0.001,-0.001,-0.003
,0.004,0.004,0.005,0.002,0.004,-0.004,0.038,-0.001,-0.003,-0.006,0.004,0.004,-0.001,-0.001,-0.003,-0.002
,0.003,0.003,0.004,0.005,0.003,-0.003,-0.37,0.001,-0.005,-0.004,0.003,0.003,0,0,-0.005,-0.001
,0.002,0.003,0.004,0.006,0.002,0,-0.65,0.003,-0.005,-0.003,0.003,0.003,0,0,-0.005,0
,0.002,0.003,0.004,0.006,0.002,0.003,-0.672,0.003,-0.004,-0.001,0.003,0.003,0.001,0.001,-0.004,0.001
,0.003,0.002,0.005,0.004,0.003,0.004,-0.425,0.001,-0.001,0.001,0.002,0.002,0.001,0.001,-0.001,0.001
,0.004,0.002,0.005,0.001,0.004,0.004,-0.043,-0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.002,-0.001
,0.006,0.002,0.004,-0.002,0.006,0.003,0.285,-0.003,0.004,0.005,0.002,0.002,0,0,0.004,-0.004
,0.006,0.002,0.001,-0.005,0.006,0.003,0.428,-0.003,0.004,0.005,0.002,0.002,0,0,0.004,-0.006
,0.004,0.003,-0.002,-0.004,0.004,0.003,0.386,-0.002,0.001,0.003,0.003,0.003,0.001,0.001,0.001,-0.007
,0.002,0.004,-0.004,-0.002,0.002,0.004,0.266,-0.001,-0.002,0.001,0.004,0.004,0.002,0.002,-0.002,-0.005
,0,0.005,-0.003,0.002,0,0.004,0.19,-0.001,-0.004,-0.001,0.005,0.005,0.003,0.003,-0.004,0
,-0.002,0.005,-0.001,0.004,-0.002,0.003,0.214,-0.001,-0.004,-0.001,0.005,0.005,0.003,0.003,-0.004,0.006
,-0.002,0.004,0.003,0.004,-0.002,0.002,0.304,-0.001,-0.001,0,0.004,0.004,0.001,0.001,-0.001,0.009
