Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
rov trace:,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2
,-0.0120,-0.2150,0.0110,-0.0120,0.0040,-0.0340,-0.2150,0.2900,-0.0020,0.0610,-0.0010
,-0.0100,-0.1510,0.0180,-0.0100,0.0060,-0.0530,-0.1510,0.3430,-0.0010,0.0670,0.0010
,-0.0080,-0.0800,0.0220,-0.0080,0.0060,-0.0690,-0.0800,0.4030,0.0010,0.0650,0.0020
,-0.0040,-0.0010,0.0240,-0.0040,0.0060,-0.0810,-0.0010,0.4590,0.0050,0.0610,0.0010
,0.0010,0.0900,0.0240,0.0010,0.0070,-0.0890,0.0900,0.5030,0.0090,0.0580,0.0000
,0.0080,0.1920,0.0250,0.0080,0.0100,-0.0950,0.1920,0.5400,0.0130,0.0560,0.0000
,0.0140,0.2910,0.0260,0.0140,0.0130,-0.0980,0.2910,0.5740,0.0150,0.0540,0.0000
,0.0200,0.3630,0.0260,0.0200,0.0150,-0.1010,0.3630,0.6000,0.0130,0.0500,0.0020
,0.0240,0.3900,0.0230,0.0240,0.0140,-0.1030,0.3900,0.5950,0.0070,0.0440,0.0030
,0.0270,0.3700,0.0160,0.0270,0.0130,-0.1040,0.3700,0.5190,-0.0010,0.0380,0.0030
,0.0300,0.3290,0.0070,0.0300,0.0110,-0.1050,0.3290,0.3280,-0.0080,0.0340,0.0020
,0.0320,0.3030,-0.0010,0.0320,0.0110,-0.1060,0.3030,-0.0010,-0.0120,0.0330,-0.0010
,0.0330,0.3190,-0.0040,0.0330,0.0130,-0.1090,0.3190,-0.4510,-0.0110,0.0350,-0.0050
,0.0330,0.3830,-0.0030,0.0330,0.0170,-0.1140,0.3830,-0.9610,-0.0080,0.0370,-0.0080
,0.0310,0.4740,0.0000,0.0310,0.0190,-0.1190,0.4740,-1.4420,-0.0050,0.0360,-0.0080
,0.0280,0.5660,0.0020,0.0280,0.0200,-0.1230,0.5660,-1.8120,-0.0040,0.0330,-0.0050
,0.0240,0.6360,-0.0030,0.0240,0.0200,-0.1230,0.6360,-2.0210,-0.0050,0.0290,-0.0010
,0.0210,0.6780,-0.0120,0.0210,0.0180,-0.1190,0.6780,-2.0570,-0.0060,0.0270,0.0050
,0.0210,0.6940,-0.0210,0.0210,0.0150,-0.1110,0.6940,-1.9300,-0.0060,0.0290,0.0090
,0.0210,0.6860,-0.0280,0.0210,0.0120,-0.1020,0.6860,-1.6560,-0.0040,0.0360,0.0130
,0.0210,0.6460,-0.0270,0.0210,0.0080,-0.0940,0.6460,-1.2490,0.0000,0.0430,0.0140
,0.0190,0.5500,-0.0220,0.0190,0.0050,-0.0890,0.5500,-0.7460,0.0030,0.0480,0.0140
,0.0140,0.3610,-0.0140,0.0140,0.0040,-0.0850,0.3610,-0.2140,0.0040,0.0480,0.0130
,0.0070,0.0460,-0.0080,0.0070,0.0030,-0.0820,0.0460,0.2560,0.0020,0.0430,0.0120
,-0.0010,-0.4000,-0.0060,-0.0010,0.0020,-0.0790,-0.4000,0.5940,-0.0010,0.0350,0.0110
,-0.0060,-0.9400,-0.0070,-0.0060,-0.0010,-0.0770,-0.9400,0.7780,-0.0040,0.0260,0.0110
,-0.0070,-1.4950,-0.0090,-0.0070,-0.0040,-0.0740,-1.4950,0.8480,-0.0070,0.0170,0.0110
,-0.0050,-1.9660,-0.0110,-0.0050,-0.0090,-0.0710,-1.9660,0.8740,-0.0090,0.0110,0.0120
,-0.0030,-2.2690,-0.0110,-0.0030,-0.0130,-0.0670,-2.2690,0.9150,-0.0110,0.0070,0.0120
,-0.0030,-2.3520,-0.0100,-0.0030,-0.0150,-0.0610,-2.3520,0.9910,-0.0110,0.0040,0.0130
,-0.0060,-2.2010,-0.0090,-0.0060,-0.0160,-0.0530,-2.2010,1.0880,-0.0110,0.0030,0.0150
,-0.0110,-1.8370,-0.0070,-0.0110,-0.0140,-0.0450,-1.8370,1.1750,-0.0090,0.0030,0.0150
,-0.0170,-1.3110,-0.0050,-0.0170,-0.0120,-0.0360,-1.3110,1.2350,-0.0070,0.0030,0.0130
,-0.0200,-0.7060,-0.0010,-0.0200,-0.0100,-0.0290,-0.7060,1.2670,-0.0050,0.0020,0.0080
,-0.0220,-0.1290,0.0020,-0.0220,-0.0090,-0.0230,-0.1290,1.2760,-0.0020,-0.0010,0.0010
,-0.0230,0.3230,0.0060,-0.0230,-0.0070,-0.0180,0.3230,1.2630,0.0000,-0.0070,-0.0050
,-0.0230,0.5960,0.0090,-0.0230,-0.0060,-0.0120,0.5960,1.2150,0.0010,-0.0130,-0.0090
,-0.0240,0.7080,0.0120,-0.0240,-0.0060,-0.0050,0.7080,1.1190,0.0030,-0.0190,-0.0090
,-0.0260,0.7280,0.0160,-0.0260,-0.0080,0.0040,0.7280,0.9720,0.0040,-0.0230,-0.0060
,-0.0260,0.7380,0.0190,-0.0260,-0.0100,0.0130,0.7380,0.7890,0.0060,-0.0240,-0.0020
,-0.0250,0.7840,0.0210,-0.0250,-0.0110,0.0200,0.7840,0.5970,0.0070,-0.0230,-0.0010
,-0.0210,0.8630,0.0220,-0.0210,-0.0100,0.0250,0.8630,0.4230,0.0080,-0.0200,-0.0020
,-0.0150,0.9420,0.0220,-0.0150,-0.0070,0.0280,0.9420,0.2790,0.0080,-0.0180,-0.0040
,-0.0090,0.9910,0.0200,-0.0090,-0.0030,0.0300,0.9910,0.1600,0.0070,-0.0170,-0.0060
,-0.0030,1.0100,0.0200,-0.0030,0.0020,0.0320,1.0100,0.0570,0.0050,-0.0170,-0.0060
,0.0030,1.0190,0.0200,0.0030,0.0060,0.0330,1.0190,-0.0400,0.0050,-0.0190,-0.0040
,0.0070,1.0430,0.0210,0.0070,0.0090,0.0330,1.0430,-0.1280,0.0060,-0.0210,-0.0010
,0.0100,1.0800,0.0200,0.0100,0.0110,0.0300,1.0800,-0.2030,0.0080,-0.0230,0.0020
,0.0140,1.1020,0.0180,0.0140,0.0120,0.0250,1.1020,-0.2590,0.0110,-0.0240,0.0030
,0.0190,1.0760,0.0140,0.0190,0.0140,0.0190,1.0760,-0.2970,0.0130,-0.0240,0.0030
,0.0250,0.9820,0.0100,0.0250,0.0150,0.0140,0.9820,-0.3250,0.0130,-0.0240,0.0020
,0.0300,0.8310,0.0080,0.0300,0.0140,0.0100,0.8310,-0.3500,0.0120,-0.0240,0.0020
,0.0330,0.6570,0.0070,0.0330,0.0130,0.0080,0.6570,-0.3790,0.0090,-0.0240,0.0030
,0.0330,0.4950,0.0070,0.0330,0.0100,0.0060,0.4950,-0.4090,0.0060,-0.0240,0.0030
,0.0290,0.3670,0.0050,0.0290,0.0070,0.0030,0.3670,-0.4320,0.0030,-0.0220,0.0040
,0.0230,0.2690,0.0030,0.0230,0.0050,-0.0010,0.2690,-0.4450,0.0000,-0.0190,0.0030
,0.0180,0.1870,-0.0010,0.0180,0.0040,-0.0060,0.1870,-0.4440,-0.0010,-0.0150,0.0030
,0.0150,0.1060,-0.0030,0.0150,0.0030,-0.0090,0.1060,-0.4320,-0.0010,-0.0100,0.0020
,0.0130,0.0210,-0.0040,0.0130,0.0040,-0.0110,0.0210,-0.4150,0.0000,-0.0050,0.0010
,0.0130,-0.0620,-0.0040,0.0130,0.0050,-0.0110,-0.0620,-0.3960,0.0010,0.0010,0.0020
,0.0130,-0.1330,-0.0040,0.0130,0.0060,-0.0100,-0.1330,-0.3770,0.0010,0.0080,0.0030
,0.0140,-0.1880,-0.0050,0.0140,0.0060,-0.0090,-0.1880,-0.3540,0.0000,0.0140,0.0040
,0.0140,-0.2310,-0.0060,0.0140,0.0060,-0.0090,-0.2310,-0.3280,-0.0030,0.0190,0.0060
,0.0120,-0.2680,-0.0060,0.0120,0.0040,-0.0100,-0.2680,-0.2980,-0.0050,0.0200,0.0080
,0.0090,-0.3040,-0.0050,0.0090,0.0010,-0.0100,-0.3040,-0.2660,-0.0060,0.0180,0.0090
,0.0040,-0.3370,-0.0030,0.0040,-0.0010,-0.0100,-0.3370,-0.2360,-0.0070,0.0160,0.0100
,0.0000,-0.3640,-0.0020,0.0000,-0.0040,-0.0090,-0.3640,-0.2100,-0.0080,0.0140,0.0120
,-0.0040,-0.3810,-0.0030,-0.0040,-0.0070,-0.0080,-0.3810,-0.1880,-0.0090,0.0140,0.0150
,-0.0060,-0.3880,-0.0060,-0.0060,-0.0080,-0.0070,-0.3880,-0.1660,-0.0110,0.0160,0.0160
,-0.0070,-0.3850,-0.0080,-0.0070,-0.0080,-0.0050,-0.3850,-0.1430,-0.0130,0.0180,0.0160
,-0.0080,-0.3750,-0.0090,-0.0080,-0.0070,-0.0040,-0.3750,-0.1200,-0.0140,0.0190,0.0130
,-0.0110,-0.3620,-0.0080,-0.0110,-0.0080,-0.0030,-0.3620,-0.0980,-0.0140,0.0180,0.0090
,-0.0160,-0.3440,-0.0050,-0.0160,-0.0100,-0.0030,-0.3440,-0.0820,-0.0130,0.0170,0.0050
,-0.0210,-0.3220,-0.0030,-0.0210,-0.0120,-0.0040,-0.3220,-0.0740,-0.0130,0.0160,0.0030
,-0.0250,-0.2950,-0.0020,-0.0250,-0.0140,-0.0040,-0.2950,-0.0730,-0.0140,0.0140,0.0020
,-0.0260,-0.2650,-0.0020,-0.0260,-0.0150,-0.0030,-0.2650,-0.0760,-0.0140,0.0120,0.0020
,-0.0230,-0.2350,-0.0010,-0.0230,-0.0140,-0.0010,-0.2350,-0.0790,-0.0130,0.0090,0.0030
,-0.0190,-0.2070,0.0000,-0.0190,-0.0120,0.0030,-0.2070,-0.0780,-0.0110,0.0040,0.0030
,-0.0170,-0.1850,0.0040,-0.0170,-0.0090,0.0070,-0.1850,-0.0720,-0.0080,0.0000,0.0030
,-0.0160,-0.1690,0.0070,-0.0160,-0.0060,0.0110,-0.1690,-0.0610,-0.0040,-0.0030,0.0010
,-0.0180,-0.1580,0.0110,-0.0180,-0.0040,0.0140,-0.1580,-0.0480,-0.0010,-0.0050,0.0000
,-0.0180,-0.1510,0.0130,-0.0180,-0.0010,0.0150,-0.1510,-0.0350,0.0010,-0.0060,-0.0020
,-0.0160,-0.1440,0.0130,-0.0160,0.0000,0.0160,-0.1440,-0.0230,0.0030,-0.0080,-0.0030
,-0.0100,-0.1350,0.0140,-0.0100,0.0010,0.0170,-0.1350,-0.0130,0.0050,-0.0110,-0.0040
,-0.0030,-0.1230,0.0150,-0.0030,0.0020,0.0180,-0.1230,-0.0040,0.0060,-0.0150,-0.0030
,0.0030,-0.1120,0.0170,0.0030,0.0020,0.0200,-0.1120,0.0040,0.0060,-0.0180,-0.0030
,0.0070,-0.1040,0.0180,0.0070,0.0030,0.0210,-0.1040,0.0090,0.0060,-0.0200,-0.0020
,0.0080,-0.1000,0.0190,0.0080,0.0050,0.0220,-0.1000,0.0120,0.0050,-0.0200,-0.0030
,0.0080,-0.1000,0.0190,0.0080,0.0080,0.0220,-0.1000,0.0130,0.0040,-0.0180,-0.0050
,0.0100,-0.0990,0.0180,0.0100,0.0110,0.0210,-0.0990,0.0150,0.0040,-0.0160,-0.0080
,0.0120,-0.0940,0.0150,0.0120,0.0130,0.0200,-0.0940,0.0180,0.0060,-0.0140,-0.0100
,0.0150,-0.0840,0.0120,0.0150,0.0130,0.0170,-0.0840,0.0240,0.0080,-0.0130,-0.0110
,0.0150,-0.0710,0.0080,0.0150,0.0110,0.0130,-0.0710,0.0330,0.0100,-0.0110,-0.0110
,0.0150,-0.0600,0.0040,0.0150,0.0080,0.0090,-0.0600,0.0410,0.0100,-0.0100,-0.0090
,0.0150,-0.0510,0.0010,0.0150,0.0050,0.0060,-0.0510,0.0490,0.0080,-0.0070,-0.0060
,0.0150,-0.0450,-0.0010,0.0150,0.0030,0.0030,-0.0450,0.0530,0.0060,-0.0030,-0.0040
,0.0170,-0.0380,-0.0030,0.0170,0.0030,0.0010,-0.0380,0.0560,0.0050,0.0010,-0.0040
,0.0180,-0.0280,-0.0040,0.0180,0.0040,0.0000,-0.0280,0.0560,0.0050,0.0050,-0.0050
,0.0170,-0.0150,-0.0060,0.0170,0.0060,-0.0010,-0.0150,0.0550,0.0070,0.0090,-0.0080
,0.0140,-0.0030,-0.0090,0.0140,0.0060,-0.0020,-0.0030,0.0540,0.0100,0.0110,-0.0100
,0.0110,0.0070,-0.0120,0.0110,0.0060,-0.0030,0.0070,0.0530,0.0120,0.0120,-0.0110
,0.0080,0.0140,-0.0140,0.0080,0.0050,-0.0030,0.0140,0.0510,0.0120,0.0150,-0.0100
,0.0060,0.0190,-0.0140,0.0060,0.0050,-0.0040,0.0190,0.0480,0.0100,0.0180,-0.0080
,0.0050,0.0260,-0.0120,0.0050,0.0040,-0.0050,0.0260,0.0450,0.0060,0.0220,-0.0060
,0.0040,0.0360,-0.0100,0.0040,0.0030,-0.0070,0.0360,0.0420,0.0020,0.0250,-0.0040
,0.0010,0.0470,-0.0090,0.0010,0.0030,-0.0090,0.0470,0.0400,-0.0020,0.0250,-0.0030
,-0.0020,0.0570,-0.0090,-0.0020,0.0020,-0.0100,0.0570,0.0380,-0.0030,0.0240,-0.0010
,-0.0050,0.0650,-0.0100,-0.0050,0.0020,-0.0110,0.0650,0.0350,-0.0030,0.0200,0.0020
,-0.0060,0.0680,-0.0100,-0.0060,0.0020,-0.0110,0.0680,0.0300,-0.0010,0.0150,0.0050
,-0.0060,0.0690,-0.0100,-0.0060,0.0010,-0.0110,0.0690,0.0220,0.0010,0.0120,0.0080
,-0.0060,0.0700,-0.0090,-0.0060,-0.0030,-0.0100,0.0700,0.0140,0.0020,0.0100,0.0100
,-0.0060,0.0720,-0.0090,-0.0060,-0.0090,-0.0080,0.0720,0.0070,0.0010,0.0090,0.0110
,-0.0090,0.0740,-0.0100,-0.0090,-0.0140,-0.0050,0.0740,0.0020,0.0000,0.0100,0.0110
,-0.0130,0.0730,-0.0110,-0.0130,-0.0170,-0.0020,0.0730,0.0010,-0.0010,0.0090,0.0110
,-0.0180,0.0690,-0.0130,-0.0180,-0.0170,0.0000,0.0690,0.0010,-0.0030,0.0080,0.0100
,-0.0210,0.0600,-0.0120,-0.0210,-0.0140,0.0020,0.0600,0.0020,-0.0040,0.0050,0.0090
,-0.0230,0.0490,-0.0100,-0.0230,-0.0100,0.0020,0.0490,0.0020,-0.0050,0.0010,0.0080
,-0.0240,0.0380,-0.0060,-0.0240,-0.0070,0.0010,0.0380,-0.0010,-0.0050,-0.0020,0.0070
,-0.0230,0.0310,-0.0030,-0.0230,-0.0060,0.0010,0.0310,-0.0030,-0.0030,-0.0040,0.0060
,-0.0210,0.0260,-0.0010,-0.0210,-0.0050,0.0010,0.0260,-0.0050,0.0000,-0.0050,0.0050
,-0.0200,0.0240,0.0020,-0.0200,-0.0050,0.0020,0.0240,-0.0040,0.0050,-0.0060,0.0030
,-0.0190,0.0220,0.0040,-0.0190,-0.0040,0.0030,0.0220,-0.0020,0.0090,-0.0070,0.0010
,-0.0180,0.0190,0.0070,-0.0180,-0.0030,0.0030,0.0190,0.0010,0.0100,-0.0080,-0.0010
,-0.0170,0.0140,0.0100,-0.0170,-0.0020,0.0040,0.0140,0.0030,0.0080,-0.0090,-0.0010
,-0.0140,0.0060,0.0130,-0.0140,0.0000,0.0040,0.0060,0.0040,0.0040,-0.0110,-0.0010
,-0.0100,-0.0030,0.0130,-0.0100,0.0010,0.0050,-0.0030,0.0030,-0.0010,-0.0130,0.0010
,-0.0040,-0.0100,0.0130,-0.0040,0.0030,0.0060,-0.0100,0.0030,-0.0040,-0.0150,0.0020
,0.0040,-0.0120,0.0120,0.0040,0.0050,0.0080,-0.0120,0.0060,-0.0060,-0.0170,0.0030
,0.0100,-0.0110,0.0120,0.0100,0.0050,0.0100,-0.0110,0.0100,-0.0060,-0.0170,0.0020
,0.0150,-0.0070,0.0110,0.0150,0.0050,0.0110,-0.0070,0.0160,-0.0040,-0.0160,0.0020
,0.0180,-0.0040,0.0090,0.0180,0.0040,0.0110,-0.0040,0.0200,-0.0020,-0.0150,0.0010
,0.0190,-0.0020,0.0050,0.0190,0.0030,0.0090,-0.0020,0.0220,0.0010,-0.0140,0.0010
,0.0190,-0.0040,0.0020,0.0190,0.0030,0.0050,-0.0040,0.0220,0.0040,-0.0120,0.0000
,0.0180,-0.0060,-0.0010,0.0180,0.0050,0.0010,-0.0060,0.0190,0.0070,-0.0110,-0.0020
,0.0190,-0.0070,-0.0010,0.0190,0.0080,-0.0020,-0.0070,0.0160,0.0090,-0.0100,-0.0030
,0.0190,-0.0060,-0.0010,0.0190,0.0110,-0.0040,-0.0060,0.0150,0.0110,-0.0090,-0.0050
,0.0200,-0.0040,-0.0020,0.0200,0.0110,-0.0050,-0.0040,0.0160,0.0130,-0.0080,-0.0040
,0.0200,-0.0020,-0.0030,0.0200,0.0090,-0.0050,-0.0020,0.0190,0.0140,-0.0050,-0.0030
,0.0190,-0.0010,-0.0040,0.0190,0.0060,-0.0070,-0.0010,0.0220,0.0140,0.0000,0.0000
,0.0170,0.0000,-0.0060,0.0170,0.0040,-0.0080,0.0000,0.0230,0.0110,0.0050,0.0020
,0.0140,-0.0010,-0.0060,0.0140,0.0040,-0.0110,-0.0010,0.0220,0.0070,0.0110,0.0030
,0.0110,0.0000,-0.0040,0.0110,0.0060,-0.0130,0.0000,0.0190,0.0020,0.0150,0.0040
,0.0080,0.0010,-0.0010,0.0080,0.0080,-0.0150,0.0010,0.0150,-0.0030,0.0180,0.0040
,0.0070,0.0050,0.0010,0.0070,0.0070,-0.0150,0.0050,0.0120,-0.0070,0.0190,0.0050
,0.0060,0.0090,0.0020,0.0060,0.0040,-0.0140,0.0090,0.0080,-0.0100,0.0190,0.0060
,0.0050,0.0140,0.0010,0.0050,0.0000,-0.0100,0.0140,0.0030,-0.0120,0.0180,0.0080
,0.0020,0.0180,-0.0010,0.0020,-0.0050,-0.0060,0.0180,-0.0020,-0.0120,0.0160,0.0090
,-0.0010,0.0230,-0.0050,-0.0010,-0.0080,-0.0030,0.0230,-0.0060,-0.0110,0.0150,0.0080
,-0.0040,0.0250,-0.0070,-0.0040,-0.0100,-0.0020,0.0250,-0.0090,-0.0080,0.0150,0.0050
,-0.0060,0.0270,-0.0080,-0.0060,-0.0110,-0.0040,0.0270,-0.0110,-0.0060,0.0150,0.0020
,-0.0070,0.0270,-0.0070,-0.0070,-0.0110,-0.0070,0.0270,-0.0110,-0.0040,0.0170,-0.0020
,-0.0060,0.0260,-0.0070,-0.0060,-0.0090,-0.0100,0.0260,-0.0130,-0.0030,0.0180,-0.0050
,-0.0070,0.0240,-0.0060,-0.0070,-0.0080,-0.0100,0.0240,-0.0160,-0.0040,0.0180,-0.0090
,-0.0080,0.0210,-0.0070,-0.0080,-0.0070,-0.0070,0.0210,-0.0210,-0.0050,0.0150,-0.0150
,-0.0100,0.0180,-0.0070,-0.0100,-0.0070,-0.0050,0.0180,-0.0250,-0.0060,0.0120,-0.0210
,-0.0130,0.0160,-0.0060,-0.0130,-0.0070,-0.0030,0.0160,-0.0270,-0.0060,0.0090,-0.0280
,-0.0150,0.0140,-0.0040,-0.0150,-0.0080,-0.0030,0.0140,-0.0270,-0.0070,0.0070,-0.0350
,-0.0180,0.0110,-0.0010,-0.0180,-0.0090,-0.0030,0.0110,-0.0240,-0.0080,0.0050,-0.0390
,-0.0200,0.0080,0.0020,-0.0200,-0.0080,-0.0030,0.0080,-0.0210,-0.0080,0.0030,-0.0390
,-0.0220,0.0030,0.0040,-0.0220,-0.0060,0.0000,0.0030,-0.0170,-0.0080,0.0010,-0.0350
,-0.0220,-0.0020,0.0050,-0.0220,-0.0050,0.0040,-0.0020,-0.0150,-0.0070,-0.0030,-0.0270
,-0.0220,-0.0070,0.0060,-0.0220,-0.0040,0.0090,-0.0070,-0.0130,-0.0060,-0.0070,-0.0170
,-0.0190,-0.0110,0.0070,-0.0190,-0.0050,0.0140,-0.0110,-0.0120,-0.0040,-0.0090,-0.0060
,-0.0160,-0.0140,0.0090,-0.0160,-0.0060,0.0170,-0.0140,-0.0110,-0.0030,-0.0110,0.0010
,-0.0120,-0.0160,0.0100,-0.0120,-0.0060,0.0180,-0.0160,-0.0100,-0.0020,-0.0110,0.0040
,-0.0070,-0.0170,0.0100,-0.0070,-0.0050,0.0170,-0.0170,-0.0080,-0.0010,-0.0110,0.0020
,-0.0030,-0.0190,0.0090,-0.0030,-0.0020,0.0160,-0.0190,-0.0040,0.0000,-0.0110,-0.0020
,0.0020,-0.0210,0.0070,0.0020,0.0000,0.0150,-0.0210,-0.0010,0.0030,-0.0120,-0.0050
,0.0060,-0.0210,0.0060,0.0060,0.0010,0.0140,-0.0210,0.0010,0.0050,-0.0120,-0.0040
,0.0090,-0.0200,0.0060,0.0090,0.0020,0.0150,-0.0200,0.0020,0.0070,-0.0130,0.0000
,0.0110,-0.0180,0.0070,0.0110,0.0040,0.0170,-0.0180,0.0010,0.0080,-0.0140,0.0070
,0.0130,-0.0150,0.0070,0.0130,0.0060,0.0180,-0.0150,0.0000,0.0080,-0.0140,0.0130
,0.0140,-0.0130,0.0080,0.0140,0.0090,0.0170,-0.0130,0.0010,0.0070,-0.0150,0.0170
