id,N_peaks,env_peak1_pos,env_peak2_pos,env_peak3_pos,env_peak1_val,env_peak2_val,env_peak3_val,peak1_pos,peak2_pos,peak3_pos,peak1_val,peak2_val,peak3_val,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,third_major_ratio,third_second_ratio,n_peaks_duration_rateo,class
1,3,0.50909,0.31941,0.21622,0.26693,0.025233,0.0058839,0.51106,0.34251,0.22408,0.407,0.039,0.009,0.29337,0.073219,0.24958,0.022113,0.43846,0.022113,0.23077,10.2261,MAP_A
1,3,0.51057,0.29828,0.21278,0.55592,0.033637,0.0084779,0.51204,0.29386,0.19312,0.7,0.046,0.013,0.29828,0.083538,0.28007,0.018571,0.37716,0.018571,0.28261,10.0577,MAP_A
1,3,0.51057,0.29877,0.23882,0.43602,0.039358,0.0074983,0.51204,0.2973,0.22015,0.561,0.058,0.013,0.27224,0.067322,0.24729,0.023173,0.42994,0.023173,0.22414,11.0199,MAP_A
1,2,0.51548,0.33956,,0.081366,0.040892,,0.51155,0.33464,,0.124,0.038,,0.17641,0.023096,0.13092,0.30645,0.65418,,,11.337,MAP_A
1,3,0.51155,0.34447,0.2231,0.092894,0.0583,0.0062507,0.51204,0.34988,0.20393,0.157,0.044,0.01,0.28894,0.034889,0.12075,0.063694,0.39827,0.063694,0.22727,10.3827,MAP_A
1,2,0.50909,0.29631,,0.42035,0.020032,,0.51057,0.29681,,0.595,0.033,,0.21327,0.055037,0.25806,0.055462,0.58133,,,9.3779,MAP_A
1,3,0.51106,0.29828,0.19165,0.3521,0.036921,0.0087515,0.51253,0.29681,0.19607,0.45,0.06,0.017,0.3199,0.074693,0.23349,0.037778,0.38255,0.037778,0.28333,9.3779,MAP_A
1,3,0.51106,0.29681,0.42015,0.34755,0.020771,0.0077408,0.51253,0.29238,0.40295,0.46,0.03,0.008,0.21474,0.056511,0.26316,0.065217,0.57047,0.017391,0.26667,13.9703,MAP_A
1,3,0.51057,0.33514,0.2398,0.27262,0.030265,0.011961,0.51204,0.34054,0.22211,0.366,0.052,0.014,0.27125,0.053071,0.19565,0.038251,0.43378,0.038251,0.26923,11.0598,MAP_A
1,2,0.51106,0.29533,,0.36432,0.028413,,0.51253,0.29238,,0.491,0.039,,0.21622,0.057985,0.26818,0.07943,0.57047,,,9.25,MAP_A
1,3,0.51155,0.33661,0.17101,0.40286,0.062175,0.0074002,0.51302,0.35086,0.1715,0.528,0.06,0.015,0.34103,0.091892,0.26945,0.028409,0.33429,0.028409,0.25,8.7968,MAP_A
1,3,0.51155,0.32629,0.19607,0.36862,0.032735,0.0054213,0.51253,0.29631,0.19951,0.486,0.039,0,0.31597,0.062408,0.19751,0,0.38926,0,0,9.4946,MAP_A
1,3,0.51057,0.33661,0.21474,0.42223,0.028174,0.006933,0.51155,0.34054,0.18231,0.56,0.043,0.012,0.29631,0.07371,0.24876,0.021429,0.35639,0.021429,0.27907,10.1244,MAP_A
1,2,0.51155,0.33808,,0.40643,0.048475,,0.51302,0.29435,,0.529,0.051,,0.17396,0.072236,0.41525,0.096408,0.57375,,,11.4972,MAP_A
1,3,0.51155,0.33612,0.20983,0.39639,0.053837,0.0063275,0.51302,0.34889,0.22703,0.514,0.049,0.012,0.30221,0.085995,0.28455,0.023346,0.44253,0.023346,0.2449,9.9268,MAP_A
1,3,0.51155,0.33563,0.19902,0.39831,0.0601,0.0067503,0.51302,0.35233,0.20246,0.53,0.062,0.011,0.31302,0.060934,0.19466,0.020755,0.39464,0.020755,0.17742,9.584,MAP_A
1,2,0.51106,0.29582,,0.33595,0.031885,,0.51204,0.29435,,0.461,0.049,,0.21572,0.042752,0.19818,0.10629,0.57486,,,9.2711,MAP_A
1,2,0.50958,0.33857,,0.44572,0.026837,,0.51106,0.34103,,0.635,0.045,,0.1715,0.054545,0.31805,0.070866,0.66731,,,11.6619,MAP_A
1,3,0.32482,0.5145,0.41671,0.81905,0.61757,0.01038,0.51695,0.32924,0.41966,0.803,0.704,0.017,0.19017,0.039803,0.2093,0.87671,0.63688,0.021171,0.024148,15.7752,MAP_A
1,3,0.51302,0.32482,0.19066,0.24965,0.21792,0.007699,0.51548,0.32973,0.19165,0.314,0.234,0.011,0.32285,0.069287,0.21461,0.035032,0.37178,0.035032,0.047009,9.2922,MAP_A
1,3,0.51253,0.3258,0.4231,0.30123,0.16824,0.028741,0.51548,0.32973,0.41916,0.413,0.209,0.047,0.18722,0.02457,0.13123,0.50605,0.63966,0.1138,0.22488,16.0236,MAP_A
1,2,0.51351,0.26437,,0.54299,0.20333,,0.51597,0.26781,,0.644,0.243,,0.24963,0.12138,0.48622,0.37733,0.51905,,,8.0118,MAP_A
1,3,0.33464,0.51302,0.22604,0.46979,0.28391,0.0076119,0.33808,0.51548,0.2285,0.4,0.319,0.016,0.28747,0.062408,0.21709,0.050157,0.44328,0.04,0.050157,10.4359,MAP_A
1,3,0.51302,0.32432,0.23833,0.23753,0.072639,0.0053299,0.51548,0.33071,0.22408,0.298,0.092,0.011,0.27518,0.070762,0.25714,0.036913,0.4347,0.036913,0.11957,10.9018,MAP_A
1,3,0.32383,0.5145,0.19165,0.6418,0.52773,0.0058918,0.32727,0.51695,0.18771,0.61,0.578,0.013,0.32334,0.083538,0.25836,0.022491,0.36312,0.021311,0.022491,9.2781,MAP_A
1,2,0.32236,0.5145,,0.71276,0.45987,,0.32678,0.51695,,0.62,0.502,,0.19263,0.054054,0.28061,1.2351,0.63213,,,10.3827,MAP_A
1,3,0.51302,0.32236,0.23243,0.2506,0.17274,0.0061526,0.51548,0.32776,0.22015,0.321,0.187,0.007,0.28108,0.051597,0.18357,0.021807,0.42707,0.021807,0.037433,10.6731,MAP_A
1,3,0.51253,0.32383,0.41474,0.28027,0.13077,0.021089,0.51499,0.33071,0.41327,0.399,0.142,0.03,0.18919,0.029484,0.15584,0.35589,0.64218,0.075188,0.21127,15.8571,MAP_A
1,3,0.34939,0.5086,0.24275,0.12562,0.059507,0.0064018,0.35577,0.52826,0.20835,0.115,0.075,0.011,0.26634,0.053071,0.19926,0.14667,0.39442,0.095652,0.14667,11.2638,MAP_A
1,3,0.34152,0.51794,0.22211,0.11183,0.070231,0.0074998,0.52285,0.35676,0.2226,0.099,0.094,0.014,0.29631,0.032924,0.11111,0.14141,0.42575,0.14141,0.14894,10.1244,MAP_A
1,2,0.34939,0.51646,,0.097285,0.058351,,0.35528,0.52236,,0.097,0.081,,0.16757,0.027027,0.16129,1.1975,0.68015,,,11.9355,MAP_A
1,3,0.34988,0.51646,0.22211,0.11967,0.078807,0.010514,0.35479,0.52285,0.22211,0.102,0.096,0.017,0.29484,0.041278,0.14,0.17708,0.42481,0.16667,0.17708,10.175,MAP_A
